offset,market_model_ar_pct,simple_ar_pct,market_model_car,simple_car
-10,0.014189158979282775,0.05545452674178479,0.014189158979282775,0.05545452674178479
-9,0.006934196883851163,0.05004340665140354,0.02112335586313394,0.10549793339318833
-8,-0.07419260652911634,-0.03132673755334213,-0.053069250665982406,0.0741711958398462
-7,-0.04716552996895741,-0.010210797428372546,-0.10023478063493982,0.06396039841147366
-6,-0.003132008232843572,0.0375903526798536,-0.10336678886778339,0.10155075109132726
-5,-0.029271245175474657,0.010511276963233732,-0.13263803404325805,0.11206202805456099
-4,-0.03048952542912005,-0.001372360815437565,-0.16312755947237811,0.11068966723912342
-3,0.02965056931567259,0.06874147062310394,-0.13347699015670553,0.17943113786222736
-2,-0.01237564497398669,0.031142195581626717,-0.14585263513069222,0.2105733334438541
-1,0.15281784722404795,0.18202103754423077,0.006965212093355738,0.39259437098808486
0,0.39757231975638035,0.4328082369526908,0.40453753184973607,0.8254026079407757
1,-0.14944005683171083,-0.11906124624131713,0.25509747501802527,0.7063413616994586
2,-0.014404412176592264,0.009845081152941158,0.240693062841433,0.7161864428523997
3,0.025798197040232587,0.049240449900647396,0.26649125988166555,0.7654268927530471
4,-0.0110206051057468,0.04404086845353149,0.25547065477591874,0.8094677612065786
5,0.025114111008691185,0.050053334249728056,0.28058476578460995,0.8595210954563066
6,0.019011492731650252,0.05200275457878266,0.2995962585162602,0.9115238500350893
7,-0.031145622351113494,0.016450673304628828,0.2684506361651467,0.9279745233397181
8,0.053836993402508866,0.08445935048904188,0.32228762956765555,1.01243387382876
9,-0.029611061019039306,0.0029740975480507014,0.29267656854861623,1.0154079713768107
10,0.043585932845875724,0.06585997899213165,0.336262501394492,1.0812679503689424
11,-0.02503271084191954,0.030281482787416894,0.31122979055257244,1.1115494331563593
12,0.007952622257084646,0.03679013276087626,0.3191824128096571,1.1483395659172355
13,-0.020499634480796402,0.014715616338884236,0.2986827783288607,1.1630551822561197
14,0.020724505841893774,0.04214413879715676,0.3194072841707545,1.2051993210532765
15,-0.03699157608349194,-0.003984760826075956,0.2824157080872625,1.2012145602272006
16,-0.032241052912693566,-0.011328717397627093,0.25017465517456894,1.1898858428295735
17,0.01693257330948987,0.03840325373869709,0.2671072284840588,1.2282890965682707
18,-0.006937562987334263,0.04283090863913645,0.26016966549672454,1.2711200052074072
19,0.026617253292069838,0.0569898743246046,0.28678691878879436,1.3281098795320119
20,0.05306425844072962,0.07891486416369971,0.33985117722952396,1.4070247436957115
