symbol,tier,sector,day0_date,surprise_percentage,jump_ratio
AAPL,large,Tech,2016-10-26,0.6024,3.2365619354896404
AAPL,large,Tech,2017-02-01,4.6729,11.582444343491181
AAPL,large,Tech,2017-05-03,3.9604,0.4005679976534834
AAPL,large,Tech,2017-08-02,6.3694,5.910135616689284
AAPL,large,Tech,2017-11-03,10.6952,2.081056221610442
AAPL,large,Tech,2018-02-02,0.7772,4.567705829044868
AAPL,large,Tech,2018-05-02,1.487,2.565021522030101
AAPL,large,Tech,2018-08-01,7.3394,6.118333309040543
AAPL,large,Tech,2018-11-02,4.2857,3.04710824373508
AAPL,large,Tech,2019-01-30,0.9615,2.401331341316554
AAPL,large,Tech,2019-05-01,5.0847,5.275326776393594
AAPL,large,Tech,2019-07-31,3.7736,2.003621158065283
AAPL,large,Tech,2019-10-31,7.0423,1.86055739906083
AAPL,large,Tech,2020-01-29,9.6491,1.4866258320969905
AAPL,large,Tech,2020-05-01,14.2857,0.5733077684015208
AAPL,large,Tech,2020-07-31,27.451,6.058312109407614
AAPL,large,Tech,2020-10-30,4.2857,2.13853651724188
AAPL,large,Tech,2021-01-28,18.3099,1.692638465081343
AAPL,large,Tech,2021-04-29,42.8571,0.05540098593014724
AAPL,large,Tech,2021-07-28,28.7129,0.8707497417187318
AAPL,large,Tech,2021-10-29,0.0,1.6365070002862394
AAPL,large,Tech,2022-01-28,11.1111,5.508602533668107
AAPL,large,Tech,2022-04-29,6.2937,1.8015054414176204
AAPL,large,Tech,2022-07-29,4.3478,2.1054936288673165
AAPL,large,Tech,2022-10-28,1.5748,3.332383968902949
AAPL,large,Tech,2023-02-03,-3.5897,1.6998245465381936
AAPL,large,Tech,2023-05-05,6.2937,3.8055139583477793
AAPL,large,Tech,2023-08-04,5.8824,5.685049732433631
AAPL,large,Tech,2023-11-03,5.036,0.4403119295434824
AAPL,large,Tech,2024-02-02,3.3175,0.3979498176638242
AAPL,large,Tech,2024-05-03,2.0,3.693705564231357
AAPL,large,Tech,2024-08-02,4.4776,0.4556768863024094
AAPL,large,Tech,2024-11-01,2.1053,1.0585749145856937
AAPL,large,Tech,2025-01-31,2.5641,0.3477668942246443
AAPL,large,Tech,2025-05-02,1.8519,0.7328160381859139
AAPL,large,Tech,2025-08-01,9.7902,3.369173397266228
AAPL,large,Tech,2025-10-31,4.5198,0.2466185675896404
AAPL,large,Tech,2026-01-30,6.367,0.3687220423094165
AAPL,large,Tech,2026-05-01,3.6082,2.1335113123494587
AMD,large,Tech,2006-10-19,0.0,5.090836576945028
AMD,large,Tech,2007-01-24,-133.3333,3.386904471550665
AMD,large,Tech,2007-04-20,-109.3023,0.46237850277521936
AMD,large,Tech,2007-07-20,-16.4557,0.7277483469839948
AMD,large,Tech,2007-10-19,19.6721,3.454761129973132
AMD,large,Tech,2008-01-18,48.4848,2.554717815022664
AMD,large,Tech,2008-04-18,-8.5106,0.48490873052927097
AMD,large,Tech,2008-07-18,-15.3846,3.1787714555071735
AMD,large,Tech,2008-10-17,53.8462,0.228401485790414
AMD,large,Tech,2009-01-23,-23.2143,0.33133212332086964
AMD,large,Tech,2009-04-22,1.5873,0.17301408908647947
AMD,large,Tech,2009-07-22,-21.5686,3.8480460940646846
AMD,large,Tech,2009-10-16,60.0,2.205622935480153
AMD,large,Tech,2010-01-22,-60.0,5.310509866750348
AMD,large,Tech,2010-04-16,185.7143,1.6117942418229438
AMD,large,Tech,2010-07-16,83.3333,0.21826890397890097
AMD,large,Tech,2010-10-15,87.5,0.11361233625636961
AMD,large,Tech,2011-01-21,27.2727,2.153371973944164
AMD,large,Tech,2011-04-25,60.0,0.05920130576825199
AMD,large,Tech,2011-07-22,12.5,8.325564359489945
AMD,large,Tech,2011-10-28,50.0,1.6276027812767462
AMD,large,Tech,2012-01-25,18.75,1.646566888090586
AMD,large,Tech,2012-04-20,33.3333,1.4030634615941073
AMD,large,Tech,2012-07-20,-14.2857,3.6032672630129605
AMD,large,Tech,2012-10-19,-25.0,4.0734446496765795
AMD,large,Tech,2013-01-23,33.3333,2.8285840056902973
AMD,large,Tech,2013-04-19,23.5294,0.4073935665328693
AMD,large,Tech,2013-07-19,25.0,3.650887614096186
AMD,large,Tech,2013-10-18,100.0,6.866060900680105
AMD,large,Tech,2014-01-22,0.0,5.700573825039835
AMD,large,Tech,2014-04-21,100.0,5.2885318512413875
AMD,large,Tech,2014-07-18,-33.3333,6.174001633439583
AMD,large,Tech,2014-10-17,-25.0,1.0593131843354688
AMD,large,Tech,2015-01-21,-1000.0,4.000646448807387
AMD,large,Tech,2015-04-17,-50.0,4.2673202099511665
AMD,large,Tech,2015-07-17,-6.25,0.9598812009332415
AMD,large,Tech,2015-10-16,-41.6667,0.5672147789148438
AMD,large,Tech,2016-01-20,0.0,1.431283434655826
AMD,large,Tech,2016-04-22,7.6923,19.101182592674938
AMD,large,Tech,2016-07-22,44.4444,3.4232508790573997
AMD,large,Tech,2016-10-21,650.0,2.4437406076377086
AMD,large,Tech,2017-02-01,50.0,6.458344224703487
AMD,large,Tech,2017-05-02,0.0,9.3594594353434
AMD,large,Tech,2017-07-26,6566.6667,1.3920554025047998
AMD,large,Tech,2017-10-25,25.0,8.293994937739601
AMD,large,Tech,2018-01-31,60.0,2.26362447380263
AMD,large,Tech,2018-04-26,22.2222,4.9662294839200545
AMD,large,Tech,2018-07-26,7.6923,6.411283190728256
AMD,large,Tech,2018-10-25,8.3333,3.1150793993353747
AMD,large,Tech,2019-01-30,0.0,3.8571931371638692
AMD,large,Tech,2019-05-01,0.0,1.1443517632531945
AMD,large,Tech,2019-07-31,0.0,5.834019728578828
AMD,large,Tech,2019-10-30,0.0,0.15493907883726593
AMD,large,Tech,2020-01-29,3.2258,2.7077276017167815
AMD,large,Tech,2020-04-29,0.0,0.7461150275675564
AMD,large,Tech,2020-07-29,5.8824,2.6157376839460396
AMD,large,Tech,2020-10-27,13.8889,1.6558930713336835
AMD,large,Tech,2021-01-27,8.3333,2.805565799270963
AMD,large,Tech,2021-04-28,18.1818,0.5032692374601409
AMD,large,Tech,2021-07-28,16.6667,3.773223945377837
AMD,large,Tech,2021-10-27,10.6061,0.30786755529717286
AMD,large,Tech,2022-02-02,21.0526,1.3268974183319022
AMD,large,Tech,2022-05-04,22.8261,2.623343569013311
AMD,large,Tech,2022-08-03,0.9615,0.45465087515637465
AMD,large,Tech,2022-11-02,-4.2857,0.42491392118638305
AMD,large,Tech,2023-02-01,2.9851,3.9203117458552073
AMD,large,Tech,2023-05-03,7.1429,4.860357346399453
AMD,large,Tech,2023-08-02,1.7544,3.5143654519632554
AMD,large,Tech,2023-11-01,2.9412,3.8638563323612773
AMD,large,Tech,2024-01-31,0.0,0.6985771657022686
AMD,large,Tech,2024-05-01,1.6393,2.8291450577340096
AMD,large,Tech,2024-07-31,1.4706,1.1922491657352678
AMD,large,Tech,2024-10-30,0.0,4.356061315644893
AMD,large,Tech,2025-02-05,0.0,2.1740791525480287
AMD,large,Tech,2025-05-07,3.2258,0.2696661958034279
AMD,large,Tech,2025-08-06,0.0,2.660639041955986
AMD,large,Tech,2025-11-05,2.5641,0.5526413864255878
AMD,large,Tech,2026-02-04,15.9091,5.286585416381244
AMD,large,Tech,2026-05-06,6.2016,4.2780445584928675
AMZN,large,Tech,2006-10-25,66.6667,5.69729968936692
AMZN,large,Tech,2007-02-02,0.0,2.2430464979235216
AMZN,large,Tech,2007-04-25,0.0,16.92641164008366
AMZN,large,Tech,2007-07-25,0.0,12.099544770535449
AMZN,large,Tech,2007-10-24,0.0,3.995992052689706
AMZN,large,Tech,2008-01-31,0.0,1.7318597598625718
AMZN,large,Tech,2008-04-24,0.0,1.2808102742638017
AMZN,large,Tech,2008-07-24,100.0,3.6246339055633445
AMZN,large,Tech,2008-10-23,0.0,0.11339035284909359
AMZN,large,Tech,2009-01-30,50.0,4.425189102518
AMZN,large,Tech,2009-04-24,0.0,2.0378787988229132
AMZN,large,Tech,2009-07-24,0.0,3.185063515984938
AMZN,large,Tech,2009-10-23,0.0,15.03686308322606
AMZN,large,Tech,2010-01-29,0.0,0.25499441383319743
AMZN,large,Tech,2010-04-23,0.0,2.0289467851488387
AMZN,large,Tech,2010-07-23,-33.3333,0.3696229285208358
AMZN,large,Tech,2010-10-22,50.0,0.9985984086335173
AMZN,large,Tech,2011-01-28,25.0,3.980259776908862
AMZN,large,Tech,2011-04-27,-33.3333,5.376608845663857
AMZN,large,Tech,2011-07-27,0.0,2.733896240153445
AMZN,large,Tech,2011-10-26,0.0,4.959763902826673
AMZN,large,Tech,2012-02-01,100.0,3.858870177104757
AMZN,large,Tech,2012-04-27,-85.7143,10.448520405320796
AMZN,large,Tech,2012-07-27,-50.0,4.614315035164375
AMZN,large,Tech,2012-10-26,62.5,4.5421423733590665
AMZN,large,Tech,2013-01-30,0.0,2.193669118916594
AMZN,large,Tech,2013-04-26,-87.5,4.638519780365042
AMZN,large,Tech,2013-07-26,-140.0,2.6466154998187306
AMZN,large,Tech,2013-10-25,0.0,4.43534426337795
AMZN,large,Tech,2014-01-31,0.0,6.192092052477874
AMZN,large,Tech,2014-04-25,0.0,4.652970931078216
AMZN,large,Tech,2014-07-25,0.0,5.417486286051694
AMZN,large,Tech,2014-10-24,-25.0,6.405638852163502
AMZN,large,Tech,2015-01-30,100.0,7.661480682677438
AMZN,large,Tech,2015-04-24,0.0,11.023182323164047
AMZN,large,Tech,2015-07-24,200.0,6.979180235907146
AMZN,large,Tech,2015-10-23,200.0,3.175559396459822
AMZN,large,Tech,2016-01-29,-37.5,2.2972215695870957
AMZN,large,Tech,2016-04-29,66.6667,7.185742686353143
AMZN,large,Tech,2016-07-29,80.0,0.9790174345902675
AMZN,large,Tech,2016-10-28,-25.0,5.381028499687338
AMZN,large,Tech,2017-02-03,14.2857,3.4055294686400543
AMZN,large,Tech,2017-04-28,16.6667,0.7894030502533494
AMZN,large,Tech,2017-07-28,-71.4286,2.3579004327922872
AMZN,large,Tech,2017-10-27,0.0,16.39131718622657
AMZN,large,Tech,2018-02-02,22.2222,1.8976854086460737
AMZN,large,Tech,2018-04-27,166.6667,1.4461620493450316
AMZN,large,Tech,2018-07-27,92.3077,0.380448413133989
AMZN,large,Tech,2018-10-26,93.3333,2.559390023793572
AMZN,large,Tech,2019-02-01,7.1429,2.196084186050191
AMZN,large,Tech,2019-04-26,52.1739,3.2451617573707194
AMZN,large,Tech,2019-07-26,-7.1429,1.7777358985268115
AMZN,large,Tech,2019-10-25,-4.5455,1.0829670877451172
AMZN,large,Tech,2020-01-31,60.0,6.455848881587781
AMZN,large,Tech,2020-05-01,-19.3548,2.9631315220615844
AMZN,large,Tech,2020-07-31,550.0,1.2778495103602765
AMZN,large,Tech,2020-10-30,63.1579,2.3293577834644648
AMZN,large,Tech,2021-02-03,100.0,1.058648578679205
AMZN,large,Tech,2021-04-30,68.0851,0.0936083393882169
AMZN,large,Tech,2021-07-30,24.5902,5.057494918185357
AMZN,large,Tech,2021-10-29,-29.5455,1.4531442474210048
AMZN,large,Tech,2022-02-04,672.2222,4.804956711525692
AMZN,large,Tech,2022-04-29,-190.4762,5.346205754187767
AMZN,large,Tech,2022-07-29,-266.6667,3.7687671821930233
AMZN,large,Tech,2022-10-28,33.3333,2.2488028510328553
AMZN,large,Tech,2023-02-03,-82.3529,3.155207287914321
AMZN,large,Tech,2023-04-28,47.619,1.779547964373407
AMZN,large,Tech,2023-08-04,91.1765,4.6905574706133795
AMZN,large,Tech,2023-10-27,62.069,3.2082339480114768
AMZN,large,Tech,2024-02-02,25.0,5.389908466018033
AMZN,large,Tech,2024-05-01,19.5122,1.29876926051229
AMZN,large,Tech,2024-08-02,23.5294,5.674337399254873
AMZN,large,Tech,2024-11-01,25.4386,4.0849488600356105
AMZN,large,Tech,2025-02-06,25.3623,0.7472604128756121
AMZN,large,Tech,2025-05-02,16.9118,0.02641866328228949
AMZN,large,Tech,2025-08-01,27.2727,7.953282769848878
AMZN,large,Tech,2025-10-31,25.0,5.096675977931092
AMZN,large,Tech,2026-02-06,0.0,2.9564420453232785
AMZN,large,Tech,2026-04-30,69.5122,0.43295215230842815
ANF,mid,Consumer,2014-05-30,4.04,0.886441944468871
ANF,mid,Consumer,2014-08-29,66.24,0.0796397922336092
ANF,mid,Consumer,2014-12-04,2.35,0.7393902424625964
ANF,mid,Consumer,2015-03-05,-0.58,0.07150336410420689
ANF,mid,Consumer,2015-05-29,-169.4,2.017775476447494
ANF,mid,Consumer,2015-08-27,356.68,0.07438325742028808
ANF,mid,Consumer,2015-11-23,114.51,0.46025046005381626
ANF,mid,Consumer,2016-03-03,9.21,0.9821308341647921
ANF,mid,Consumer,2016-05-27,-14.18,1.065396894706398
ANF,mid,Consumer,2016-08-31,8.26,0.37848631082824197
ANF,mid,Consumer,2016-11-21,-52.38,0.27967396599062433
ANF,mid,Consumer,2017-03-03,0.0,2.053831726536419
ANF,mid,Consumer,2017-05-26,-19.42,1.4120635315290044
ANF,mid,Consumer,2017-08-25,51.39,2.1833976774105284
ANF,mid,Consumer,2017-11-20,43.88,1.5134929634063647
ANF,mid,Consumer,2018-03-08,25.76,1.4593145203724476
ANF,mid,Consumer,2018-06-04,27.37,3.1764680391315467
ANF,mid,Consumer,2018-08-31,-12.51,0.7298043782593179
ANF,mid,Consumer,2018-11-30,66.67,0.17621330253410716
ANF,mid,Consumer,2019-03-07,28.22,0.20372187579338594
ANF,mid,Consumer,2019-05-30,33.22,0.7916657178378346
ANF,mid,Consumer,2019-08-30,7.85,0.2436746885567576
ANF,mid,Consumer,2019-11-27,-60.0,1.6640396702027151
ANF,mid,Consumer,2020-03-05,6.28,3.936532173118127
ANF,mid,Consumer,2020-05-29,-174.87,0.03367319153748908
ANF,mid,Consumer,2020-08-28,127.78,0.6529390378963514
ANF,mid,Consumer,2020-11-25,419.94,0.11629870917753168
ANF,mid,Consumer,2021-03-03,22.26,0.6644987786282254
ANF,mid,Consumer,2021-05-27,278.52,1.8614137563209345
ANF,mid,Consumer,2021-08-27,180.86,0.930248382139524
ANF,mid,Consumer,2021-11-24,17.56,1.0087586140595504
ANF,mid,Consumer,2022-03-03,-10.4,0.3608970610726654
ANF,mid,Consumer,2022-05-25,-557.14,2.344149027745535
ANF,mid,Consumer,2022-08-26,-239.19,2.1356575455267013
ANF,mid,Consumer,2022-11-23,108.08,0.9250569931226119
ANF,mid,Consumer,2023-03-02,-5.95,1.2357137029119956
ANF,mid,Consumer,2023-05-25,540.0,0.7079270400407877
ANF,mid,Consumer,2023-08-24,542.97,0.1406463584551388
ANF,mid,Consumer,2023-11-22,64.65,0.7060190359952075
ANF,mid,Consumer,2024-03-07,3.15,2.439627175986538
ANF,mid,Consumer,2024-05-30,24.49,1.0518867439852608
ANF,mid,Consumer,2024-08-29,19.26,0.5227122914472585
ANF,mid,Consumer,2024-11-27,6.4,0.42020068204605493
ANF,mid,Consumer,2025-03-06,-0.82,1.4230777845178428
ANF,mid,Consumer,2025-05-29,19.67,1.3338196042870472
ANF,mid,Consumer,2025-08-28,0.2,0.3502158212195433
ANF,mid,Consumer,2025-11-26,9.4,0.6144761314545015
ANF,mid,Consumer,2026-03-05,2.75,2.7058873880423144
ANF,mid,Consumer,2026-05-28,15.26,0.2706678230209155
ANIP,small,Healthcare,2014-05-06,-1.49,0.45790415855381866
ANIP,small,Healthcare,2014-08-05,-150.0,0.23544529906905406
ANIP,small,Healthcare,2014-11-04,45.05,0.8669563330581539
ANIP,small,Healthcare,2015-02-20,19.64,1.7751830648108633
ANIP,small,Healthcare,2015-05-06,7.55,1.6810321475280607
ANIP,small,Healthcare,2015-08-05,0.0,0.030314612726500663
ANIP,small,Healthcare,2015-11-04,13.95,1.330065102610687
ANIP,small,Healthcare,2016-02-24,-9.57,0.04807926380918772
ANIP,small,Healthcare,2016-05-06,8.57,0.13701494682909648
ANIP,small,Healthcare,2016-08-05,44.16,1.3082379571560339
ANIP,small,Healthcare,2016-11-04,1.24,1.0384902679308392
ANIP,small,Healthcare,2017-03-03,-18.18,1.4504771965029337
ANIP,small,Healthcare,2017-05-05,-6.33,1.5247662317047221
ANIP,small,Healthcare,2017-08-04,13.95,0.28344126096124417
