tier,offset,abnormal_return_pct,car_pct
large,-10,0.03555355759234728,0.03555355759234728
large,-9,0.03630996745819783,0.07186352505054511
large,-8,0.022016067487751236,0.09387959253829635
large,-7,-0.02991687857105508,0.06396271396724126
large,-6,0.01187582049312389,0.07583853446036516
large,-5,0.048765072397662174,0.12460360685802734
large,-4,0.05510330146948534,0.17970690832751268
large,-3,0.05898670497922895,0.23869361330674163
large,-2,0.019091381821044653,0.2577849951277863
large,-1,0.09725623979805895,0.3550412349258452
large,0,0.16631669185168002,0.5213579267775252
large,1,-0.05764704186323157,0.4637108849142937
large,2,0.0053198599938298905,0.4690307449081236
large,3,0.018537443600078283,0.4875681885082018
large,4,0.015536002457920597,0.5031041909661225
large,5,-0.0007141347113095741,0.5023900562548128
large,6,0.05842525862173023,0.5608153148765431
large,7,0.03056422766301267,0.5913795425395557
large,8,0.09400109902168079,0.6853806415612366
large,9,0.017985552167488844,0.7033661937287254
large,10,0.010499040963488438,0.7138652346922139
large,11,0.028035734810015738,0.7419009695022296
large,12,0.0052242154863593035,0.7471251849885888
large,13,-0.0042942199927096195,0.7428309649958792
large,14,0.03879355377519746,0.7816245187710767
large,15,0.033140077397230475,0.8147645961683072
large,16,-0.06040975141501582,0.7543548447532914
large,17,-0.014796753489868177,0.7395580912634232
large,18,0.06985908792823718,0.8094171791916603
large,19,-0.011583716403989173,0.7978334627876712
large,20,0.10070482265508801,0.8985382854427593
mid,-10,-0.037604215925696176,-0.037604215925696176
mid,-9,0.04634006629495036,0.008735850369254186
mid,-8,-0.07264040095650039,-0.0639045505872462
mid,-7,0.017645592323367872,-0.046258958263878325
mid,-6,0.01072026785205981,-0.03553869041181852
mid,-5,-0.039263680038504944,-0.07480237045032347
mid,-4,0.010048032575349952,-0.06475433787497352
mid,-3,0.08768975000111122,0.0229354121261377
mid,-2,0.05786370657502037,0.08079911870115808
mid,-1,0.1097520013924778,0.19055112009363587
mid,0,0.43390733528463826,0.6244584553782742
mid,1,0.04646769876128636,0.6709261541395605
mid,2,0.010375215691753741,0.6813013698313142
mid,3,0.08732833269933658,0.7686297025306508
mid,4,0.030311918832424022,0.7989416213630748
mid,5,0.07946011993271,0.8784017412957849
mid,6,-0.015698600775040185,0.8627031405207446
mid,7,0.06092246653598751,0.9236256070567321
mid,8,0.04802752798402144,0.9716531350407536
mid,9,0.009314072984208234,0.9809672080249618
mid,10,0.021456353078419962,1.0024235611033818
mid,11,0.05655379970091708,1.058977360804299
mid,12,0.022942401562340183,1.081919762366639
mid,13,0.04908308083934949,1.1310028432059884
mid,14,-0.02485252157504042,1.106150321630948
mid,15,0.02854483509623983,1.134695156727188
mid,16,0.018419854896398285,1.1531150116235862
mid,17,0.09656731385750401,1.2496823254810903
mid,18,0.019942670175748398,1.2696249956568386
mid,19,0.02103097040311002,1.2906559660599486
mid,20,0.06255734485072147,1.35321331091067
small,-10,0.101773620489994,0.101773620489994
small,-9,0.056444658100458206,0.1582182785904522
small,-8,-0.0277326013334563,0.1304856772569959
small,-7,-0.024662742231355006,0.1058229350256409
small,-6,0.0336268733109801,0.139449808336621
small,-5,-0.028245429683965165,0.11120437865265584
small,-4,-0.018955116001241227,0.0922492626514146
small,-3,0.0409551944439836,0.1332044570953982
small,-2,0.03317531276574587,0.16637976986114406
small,-1,0.2832070293487107,0.4495867992098548
small,0,0.2326901140903971,0.6822769133002519
small,1,0.016629328345901,0.6989062416461529
small,2,-0.043240507845767336,0.6556657338003855
small,3,-0.010636406377446804,0.6450293274229387
small,4,0.047804340556872604,0.6928336679798114
small,5,0.07250329888054281,0.7653369668603541
small,6,0.0006684023396844439,0.7660053692000386
small,7,0.05147776200116892,0.8174831312012075
small,8,0.03826329923823158,0.8557464304394391
small,9,-0.043281030222308024,0.8124654002171311
small,10,0.038981070348185855,0.851446470565317
small,11,0.028369040788767855,0.8798155113540848
small,12,-0.012143917677980998,0.8676715936761038
small,13,-0.042342945205699506,0.8253286484704043
small,14,0.049449384803865834,0.8747780332742702
small,15,-0.009565096735387435,0.8652129365388826
small,16,0.12259197407502548,0.9878049106139082
small,17,0.03410900847968012,1.0219139190935882
small,18,0.06513925980739214,1.0870531789009805
small,19,0.10014852831835967,1.1872017072193402
small,20,0.05752829424503754,1.2447300014643776
